RegionName,StateName,Metro,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,2013,2014,2015,2016,2017,2018,2019,2020
Marion County,AR,,,,87248,86942,86827,87122,87584,87935,88042,87846,87601,87110,87013,87445,88150,89303,90268,90615,90503,90092,90088,90991,92400,93863,94156,94375,94344,94522,94522,94639,95485,97442,99089,99898,100149,101083,103318,104096,104816,104537,105520,105921,106088,105847,106560,107406,107889,108054,107967,108624,108928,109970,110291,111133,111154,111237,110722,110674,111188,111775,111933,112073,112380,112716,112652,112428,112609,112989,113507,113792,114162,114375,114921,115310,116022,116357,116652,116911,117634,118637,119452,119861,119566,119901,120439,121423,121660,122069,122843,123647,124069,124180,124472,125103,126143,126766,72854.75,90060.91667,96642,114261.25,110305.25,112968,117602,123567.8333
Crawford County,WI,,97074,97364,97378,97428,97399,97146,97073,97223,97419,97497,97541,97629,97876,97928,98115,98278,98580,99045,99333,99680,99902,100421,100719,100935,100962,101347,101634,101943,102236,102653,103289,103740,104297,104719,105264,105638,105873,106020,106325,106761,107304,107868,108304,108655,108696,108866,109056,109611,110163,110813,111268,111833,112282,112610,112898,113363,114191,114852,115663,116367,117275,118235,119419,120537,121407,122071,122749,123472,124156,124893,125360,125742,126061,126552,126872,127435,128040,129097,129805,130504,131147,131930,132196,132224,132084,132190,132349,132331,132460,132416,132691,132941,133210,133400,134112,135097,97347.58333,99234.33333,103143.5,116581.4167,113025.25,122109.6667,129321.9167,132940.0833
Dade County,GA,Chattanooga,97567,98236,98766,99449,100097,100788,101512,102336,103104,104231,105488,106476,107310,107879,108468,108827,109404,110277,111141,111575,112053,112383,112832,113208,113941,114798,115700,116475,117181,117703,118113,118651,119379,119983,120457,121151,121818,122613,123274,124099,124772,125237,125927,126421,126743,126988,127528,128123,128639,129043,129527,130099,130753,131712,132498,133588,134643,135895,137000,137934,138805,139600,140443,141217,142122,142963,143738,144483,145206,145782,146342,146930,147853,148504,149225,149935,150642,151429,152116,153030,153789,154661,154493,154342,153829,154229,154467,154756,155035,155314,155820,156195,156802,157452,159030,160733,101504.1667,110446.4167,117794.3333,135391.1667,132610.9167,143135.9167,151668.25,156138.5
Robertson County,TX,College Station-Bryan,91027,91213,91531,92005,92569,93031,93456,93978,94495,95066,95743,96485,97074,97759,98255,98837,99301,99807,100401,101075,101986,102773,103290,103628,104131,104775,105489,105937,106407,107112,107790,108389,108902,109563,110269,110881,111157,111472,111885,112716,113602,114302,114951,115467,115595,115679,115907,116660,117742,118700,119491,119912,120190,120298,120563,121116,121848,122547,123060,123551,124038,124743,125363,126096,126875,127831,128623,129056,129762,130400,131513,131995,132462,132660,133334,134132,134713,135120,135516,136286,136975,137773,137868,138214,138349,138819,139010,139090,139330,139653,140027,140223,140298,140315,140651,141084,93383.25,100348.8333,107470.4167,123356.1667,120751.5,128024.5833,135421.0833,139737.4167
Lee County,TX,,138633,139052,139469,140117,140646,141322,141864,142417,142787,143319,144088,144947,146135,147220,148391,149022,149862,150551,151442,152394,153726,155037,156215,157250,158062,158866,159492,160536,161442,162553,163734,165080,166373,167575,168386,169211,169969,170951,172002,172924,174040,174820,175660,176240,177119,178047,179381,180597,181821,182996,184132,185200,185822,186808,187905,189145,189797,190294,190896,191812,192932,193839,194905,196060,197784,199242,200029,200571,201010,201641,202089,202574,203203,204171,204987,206169,207130,208245,209222,210332,211226,212366,212769,213429,213572,213926,214332,214490,214709,214970,215732,216559,217782,218817,220553,222104,141555.0833,151437.0833,163442.5,189246.75,187219,198556.3333,208604.0833,216462.1667
Barbour County,WV,,54177,54099,54878,55686,56240,55950,55381,55731,56552,57849,58729,59362,59509,59443,58932,58315,58008,57913,58308,57784,57241,56043,55225,54875,54953,55258,55434,55705,55825,56038,56060,56210,56356,56853,57265,57548,57758,57999,58358,58596,58810,59071,59342,59794,60209,60487,60682,60878,60882,60719,60537,60653,60865,61227,61492,61863,62127,62603,63086,63509,63964,64553,65113,65361,65426,65446,65609,65687,65839,65989,66269,66491,66749,67141,67673,68150,68422,68616,68885,69234,69583,69724,69519,69387,69356,69334,69115,69033,69188,69403,69520,69602,69684,69902,70342,70794,56219.5,57633,56125.41667,64127.66667,61630.25,65478.91667,68590.25,69606.08333
Wetzel County,WV,,,,,,,,,,,,,68541,68596,68227,67477,66382,65669,65802,65931,65915,65344,65125,65026,65181,64804,64681,64783,65595,66195,65638,65096,64631,65144,65446,65796,65815,66260,66662,67157,67329,67179,67222,67339,67819,68044,67854,67411,67079,66697,66483,66306,66293,66354,66476,66677,66777,66894,67395,68005,68553,68858,69002,69275,69503,69698,69590,69510,69535,69742,69669,69508,69347,69429,69670,69885,70228,70653,71161,71587,72019,72329,72530,72543,72669,72842,73038,73141,73169,73167,73256,73407,73545,73720,74066,74606,75092,5711.75,66222.91667,65302,72764.16667,66909.16667,69436.41667,71225.25,73587.41667
Pawnee County,OK,Tulsa,69505,69801,70042,70301,70413,70418,70538,70612,70705,70464,70141,69701,69720,69896,70215,70361,70443,70666,70757,70884,70961,71188,71475,71718,71829,71862,71928,72239,72878,73388,73787,73935,74129,74303,74541,74674,74830,74930,74945,74926,74813,74815,74886,75061,75298,75679,76250,77022,77572,77943,78190,78434,78663,78854,79220,79545,79796,79843,79815,79867,80299,80925,81912,82708,83506,84210,84697,85120,85415,85776,85858,85802,85706,86066,86580,87250,87708,88081,88545,89055,89540,89912,90553,91207,91823,92036,91966,91893,92018,92286,92561,92832,93185,93610,93961,94340,70220.08333,70690.33333,73291.08333,81510.75,78978.5,83852.33333,88350.25,92709.25
Dewitt County,IL,Bloomington,74871,75106,75285,75381,75661,75981,76709,77336,78013,78279,78462,78632,78755,78936,79070,79455,80010,80635,80983,81160,81276,81547,81823,82085,82339,82544,82851,83056,83261,83423,83679,83931,84188,84486,84788,85117,85494,85935,86577,87140,87666,87971,88203,88488,88781,89097,89352,89627,89915,90198,90324,90482,90681,91023,91408,91741,92084,92406,92815,93174,93442,93639,93751,93913,94125,94436,94771,95025,95215,95405,95619,95888,96106,96340,96596,96824,97230,97626,97892,98052,98221,98552,98440,98279,98096,98163,98204,98225,98074,97862,97729,97723,97738,97634,97827,98036,76643,80477.91667,83638.58333,94954,91354.25,94602.41667,97513.16667,97942.58333
Sawyer County,WI,,168846,168067,167055,166438,165873,165475,165271,164969,164933,165088,165394,165591,166790,168140,169444,169838,170257,170953,171517,172069,172230,172668,173147,173562,173957,174502,175242,176124,176844,177459,177770,178309,179050,179528,179807,180152,180028,179698,178997,179183,179713,180616,181449,181882,182400,182861,183457,183892,184094,184528,185336,186057,186337,186450,187179,187964,188220,188529,189177,190108,191728,193234,195097,195875,196919,197418,197888,198591,199642,200925,201640,202582,203217,204344,204594,205363,206162,207782,209315,210528,211611,212454,212801,212962,212988,213260,213899,214774,215692,216408,217206,218260,219485,220912,223101,225442,166083.3333,170884.5833,177395.3333,196194,186998.25,197628.25,208427.75,217618.9167
